Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor,Simulator
1,3,"[0.0, 0.0, 21.5, 0.0, 15.4, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 21.5, 4.6, 4.5, 4.6, 3.1, 10.8, 15.4, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 70.3, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",44.5,29027.125,35,85.71753502,7021.980469,0.470362524,1,Isaac Sim
2,6,"[13.8, 0.0, 9.2, 13.8, 53.0, 0.0, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 29.2, 0.0, 0.0, 0.0, 0.0, 13.8, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 21.5, 7.7, 0.0, 0.0, 0.0, 0.0, 13.8, 3.1, 71.9, 0.0, 0.0, 0.0, 3.1, 10.8, 0.0, 0.0, 0.0, 1.6]",44.5,29021.48047,31,85.71753502,7021.980469,0.325631523,1,Isaac Sim
3,4,"[0.0, 0.0, 6.2, 0.0, 23.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 4.7, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 0.0, 15.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.2, 1.6, 0.0, 3.1, 1.6, 1.6, 17.2, 0.0, 0.0, 0.0]",44.5,29009.26953,37,85.71753502,7021.980469,0.327099501,1,Isaac Sim
4,5.4,"[0.0, 0.0, 21.5, 0.0, 33.8, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 7.7, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0]",44.5,29011.88281,30,85.71753502,7021.980469,0.326904623,1,Isaac Sim
5,5.4,"[15.4, 0.0, 15.4, 9.4, 40.9, 21.5, 9.2, 4.6, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0, 12.3, 0.0, 33.8, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 16.9, 0.0, 10.8, 6.1, 4.6, 0.0, 67.2, 6.2, 4.6, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 3.1]",44.5,29010.69922,38,85.71753502,7021.980469,0.326787767,1,Isaac Sim
6,4.1,"[1.5, 4.6, 6.2, 0.0, 21.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 4.6, 0.0, 0.0, 7.7, 10.8, 1.5, 15.4, 15.4, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 15.4, 0.0, 0.0, 0.0, 78.5, 0.0, 0.0, 0.0, 6.2, 0.0, 6.2, 4.6, 3.0, 4.6]",44.5,29010.39453,30,85.6648922,7017.667969,0.32474323,1,Isaac Sim
7,4.9,"[0.0, 0.0, 18.5, 0.0, 20.0, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 15.2, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 3.1, 6.2, 4.6, 0.0, 0.0, 0.0, 3.1, 10.8, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 79.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 0.0, 3.1]",44.6,29036.87109,31,85.6610775,7017.355469,0.326635481,1,Isaac Sim
8,4.4,"[0.0, 28.1, 15.6, 0.0, 32.8, 0.0, 29.7, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 7.8, 0.0, 7.8, 4.7, 0.0, 1.6, 0.0, 1.6]",44.6,29039.23438,41,85.6610775,7017.355469,0.325480009,1,Isaac Sim
9,6.5,"[0.0, 0.0, 3.1, 0.0, 20.3, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 1.5, 24.6, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 4.6, 0.0]",44.6,29036.07031,31,85.6610775,7017.355469,0.326643621,1,Isaac Sim
10,2.9,"[0.0, 0.0, 15.4, 1.6, 26.6, 4.6, 1.5, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 1.6, 1.5, 0.0, 3.1, 14.1, 4.6, 10.8, 0.0, 15.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",44.6,29028.45313,39,85.6610775,7017.355469,0.325420766,1,Isaac Sim
11,2.7,"[0.0, 0.0, 13.8, 0.0, 33.8, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 3.1, 0.0, 3.1, 1.5, 1.5, 0.0, 6.2, 1.5, 0.0, 0.0, 0.0, 1.5, 3.0, 3.1, 0.0, 29.7, 9.2, 0.0, 0.0, 4.6, 18.5, 3.0, 66.2, 4.6, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44.6,29032.87891,23,85.6610775,7017.355469,0.326838722,1,Isaac Sim
12,6,"[0.0, 9.2, 6.2, 0.0, 41.5, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 15.2, 0.0, 10.8, 0.0, 7.7, 18.5, 1.5, 7.7, 4.6, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 0.0, 7.7, 0.0, 13.8, 0.0, 4.6, 7.7, 0.0, 0.0, 0.0, 75.4, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 10.9, 0.0, 6.2]",44.6,29033.14063,29,85.6610775,7017.355469,0.326476068,1,Isaac Sim
13,4.7,"[0.0, 0.0, 12.3, 0.0, 26.2, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 4.6, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 1.5, 9.2, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 6.2]",44.5,29009.99609,30,85.6610775,7017.355469,0.326756199,1,Isaac Sim
14,3.8,"[0.0, 0.0, 14.1, 0.0, 38.5, 4.7, 3.1, 0.0, 3.1, 0.0, 1.5, 0.0, 21.9, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4, 0.0, 20.0, 6.2, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 75.4, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",44.5,29024.21094,41,85.67709923,7018.667969,0.325331109,1,Isaac Sim
15,4.7,"[0.0, 1.5, 9.2, 3.0, 34.4, 0.0, 10.9, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 50.8, 0.0, 35.4, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6, 7.7, 1.5, 0.0, 1.5, 0.0, 6.2, 1.5, 65.6, 15.4, 21.5, 6.2, 0.0, 4.6, 0.0, 0.0, 0.0, 3.1]",44.5,29024.35156,40,85.65955162,7017.230469,0.325417964,1,Isaac Sim
16,6,"[0.0, 0.0, 21.5, 0.0, 32.3, 0.0, 6.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 13.8, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.7, 0.0, 12.5, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0]",44.5,29027.61719,40,85.65955162,7017.230469,0.325295457,1,Isaac Sim
17,4,"[0.0, 1.5, 14.1, 0.0, 20.0, 0.0, 1.5, 0.0, 0.0, 0.0, 13.8, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 7.7, 0.0, 1.6, 12.3, 4.6, 0.0, 3.2, 6.2, 1.5, 0.0, 0.0, 0.0, 73.8, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 3.1, 7.7, 0.0]",44.5,29027.90625,40,85.65955162,7017.230469,0.32536523,1,Isaac Sim
18,4.5,"[6.2, 0.0, 1.6, 0.0, 41.5, 0.0, 0.0, 0.0, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 0.0, 28.1, 13.8, 6.2, 9.4, 0.0, 0.0, 31.2, 1.6, 0.0, 4.6, 10.9, 3.1, 1.6, 0.0, 1.6, 0.0, 1.6, 0.0, 7.8, 18.8, 3.1, 76.9, 1.6, 0.0, 3.1, 1.6, 7.8, 12.5, 7.8, 6.2, 4.7]",44.5,29024.41797,40,85.65955162,7017.230469,0.325398246,1,Isaac Sim
19,3.8,"[1.5, 0.0, 16.9, 0.0, 39.4, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 1.5, 20.0, 0.0, 4.6, 0.0, 0.0, 0.0, 3.1, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 10.8, 3.1, 0.0, 0.0, 3.1, 0.0, 13.8, 10.8, 72.7, 3.0, 7.7, 12.3, 0.0, 0.0, 0.0, 0.0, 1.5, 3.1]",44.5,29024.26953,35,85.65955162,7017.230469,0.326870816,1,Isaac Sim
20,4.5,"[0.0, 0.0, 12.5, 0.0, 43.1, 0.0, 6.2, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 9.2, 10.9, 4.7, 6.2, 0.0, 18.2, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1]",44.6,29028.66797,38,85.65955162,7017.230469,0.32527805,1,Isaac Sim
21,4.1,"[0.0, 0.0, 31.2, 0.0, 30.8, 1.5, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 12.1, 0.0, 9.2, 4.6, 15.6, 9.2, 0.0, 0.0, 3.1, 0.0, 0.0, 14.1, 6.2, 12.3, 0.0, 0.0, 1.5, 0.0, 4.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 74.2, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",44.6,29030.38672,39,85.65955162,7017.230469,0.326819163,1,Isaac Sim
22,5.7,"[0.0, 0.0, 6.2, 0.0, 34.4, 0.0, 4.7, 0.0, 0.0, 1.6, 1.5, 0.0, 1.6, 0.0, 15.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 14.1, 0.0, 4.7, 1.6, 0.0, 0.0, 17.2, 0.0, 0.0, 1.6, 0.0, 0.0, 3.1, 0.0, 70.3, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44.5,29023.57813,37,85.65955162,7017.230469,0.325108241,1,Isaac Sim
23,4.1,"[6.2, 1.5, 16.9, 0.0, 43.1, 0.0, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.4, 3.1, 1.5, 0.0, 9.2, 1.5, 6.2, 4.6, 6.2, 7.7, 1.5, 0.0, 35.4, 9.2, 0.0, 0.0, 9.2, 0.0, 0.0, 0.0, 64.6, 0.0, 7.7, 0.0, 3.1, 1.5, 0.0, 0.0, 0.0, 1.5]",44.5,29019.9375,41,85.65955162,7017.230469,0.327408609,1,Isaac Sim
24,3.8,"[0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 4.6, 20.0, 0.0, 0.0, 0.0, 12.3, 4.6, 15.4, 0.0, 69.2, 0.0, 7.7, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.5]",44.5,29016.79297,31,85.65955162,7017.230469,0.327051499,1,Isaac Sim
25,6.3,"[3.1, 0.0, 14.1, 0.0, 25.8, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 3.1, 9.1, 0.0, 34.4, 1.5, 0.0, 0.0, 0.0, 0.0, 24.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 18.5, 67.2, 0.0, 6.2, 0.0, 6.2, 0.0, 0.0, 7.7, 0.0, 3.1]",44.5,29019.37891,39,85.65955162,7017.230469,0.32489119,1,Isaac Sim
26,4.1,"[0.0, 0.0, 10.9, 0.0, 32.8, 1.6, 1.6, 0.0, 1.6, 0.0, 3.1, 0.0, 20.3, 0.0, 3.1, 0.0, 4.7, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 75.0, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 3.1]",44.5,29023.40234,40,85.65955162,7017.230469,0.325190161,1,Isaac Sim
27,3.4,"[0.0, 0.0, 7.8, 0.0, 39.1, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.8, 9.5, 0.0, 0.0, 4.7, 0.0, 3.1, 0.0, 69.2, 0.0, 0.0, 0.0, 3.1, 0.0, 18.8, 3.1, 7.8, 0.0]",44.6,29030.44141,31,85.65955162,7017.230469,0.326914611,1,Isaac Sim
28,7,"[24.6, 0.0, 12.3, 1.5, 29.2, 1.5, 12.3, 1.5, 3.1, 0.0, 0.0, 0.0, 30.3, 1.5, 4.6, 27.7, 0.0, 6.2, 1.5, 0.0, 1.5, 0.0, 10.8, 29.2, 1.5, 0.0, 9.2, 0.0, 0.0, 0.0, 4.6, 12.1, 0.0, 1.5, 20.0, 0.0, 15.4, 0.0, 67.7, 3.1, 9.2, 0.0, 16.9, 0.0, 6.2, 0.0, 0.0, 0.0]",44.6,29031.9375,31,85.65955162,7017.230469,0.325289428,1,Isaac Sim
29,4.5,"[0.0, 0.0, 12.5, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 7.8, 0.0, 17.2, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4, 4.7, 0.0, 1.6]",44.6,29031.20703,35,85.65955162,7017.230469,0.32734368,1,Isaac Sim
