Iteration,CPU Usage,Memory Usage,GPU Usage,FPS,Simulator,,,,,,,,,,,,,,,
1,67.8,3.8,0,23.35,Gazebo,,,,,,,,,,,,,,,
2,66.8,3.8,0,25.51,Gazebo,,,,,,,,,,,,,,,
3,63.3,3.8,0,26.77,Gazebo,,,,,,,,,,,,,,,
4,63,3.8,0,27.63,Gazebo,,,,,,,,,,,,,,,
5,63.1,3.8,0,28.2,Gazebo,,,,,,,,,,,,,,,
6,65.5,3.8,0,28.63,Gazebo,,,,,,,,,,,,,,,
7,65.2,3.8,0,28.95,Gazebo,,,,,,,,,,,,,,,
8,63,3.8,0,29.23,Gazebo,,,,,,,,,,,,,,,
9,64.6,3.8,0,29.43,Gazebo,,,,,,,,,,,,,,,
10,66.5,3.8,0,29.59,Gazebo,,,,,,,,,,,,,,,
11,65.5,3.8,0,29.73,Gazebo,,,,,,,,,,,,,,,
12,63.9,3.8,0,29.85,Gazebo,,,,,,,,,,,,,,,
13,62.8,3.8,0,29.95,Gazebo,,,,,,,,,,,,,,,
14,63.9,3.8,0,30.07,Gazebo,,,,,,,,,,,,,,,
15,62.9,3.8,0,30.13,Gazebo,,,,,,,,,,,,,,,
1,2.9,47,36,32.68,Isaac Sim,,,,,,,,,,,,,,,
2,3,47,31,32.72,Isaac Sim,,,,,,,,,,,,,,,
3,4.8,47,41,32.54,Isaac Sim,,,,,,,,,,,,,,,
4,2.6,47,32,32.54,Isaac Sim,,,,,,,,,,,,,,,
5,4.8,47,37,32.68,Isaac Sim,,,,,,,,,,,,,,,
6,4.4,47,27,32.67,Isaac Sim,,,,,,,,,,,,,,,
7,4.5,47,30,32.72,Isaac Sim,,,,,,,,,,,,,,,
8,2.5,47,38,32.71,Isaac Sim,,,,,,,,,,,,,,,
9,3.2,47,39,32.71,Isaac Sim,,,,,,,,,,,,,,,
10,5.3,47,36,32.67,Isaac Sim,,,,,,,,,,,,,,,
11,3.8,47,38,32.7,Isaac Sim,,,,,,,,,,,,,,,
12,3.6,47,41,32.7,Isaac Sim,,,,,,,,,,,,,,,
13,4.1,47,31,32.52,Isaac Sim,,,,,,,,,,,,,,,
14,2.9,47,30,32.52,Isaac Sim,,,,,,,,,,,,,,,
15,3.2,47,38,32.73,Isaac Sim,,,,,,,,,,,,,,,
1,6.2,78.3,0,16.12629425854797,Webots,,,,,,,,,,,,,,,
2,6.2,78.3,0,21.783499961048065,Webots,,,,,,,,,,,,,,,
3,6.2,78.3,0,29.59815338974499,Webots,,,,,,,,,,,,,,,
4,6.2,78.3,0,29.738972774170154,Webots,,,,,,,,,,,,,,,
5,4.2,78.3,0,29.551439472771417,Webots,,,,,,,,,,,,,,,
6,11.8,78.3,0,29.572833342037917,Webots,,,,,,,,,,,,,,,
7,6.7,78.3,0,30.46745018462355,Webots,,,,,,,,,,,,,,,
8,5.9,78.3,0,30.526481391002033,Webots,,,,,,,,,,,,,,,
9,6.2,78.3,0,30.354106690943343,Webots,,,,,,,,,,,,,,,
10,6.2,78.3,0,30.18047716050306,Webots,,,,,,,,,,,,,,,
11,13.3,78.3,0,30.237805303266306,Webots,,,,,,,,,,,,,,,
12,11.1,78.3,0,30.533160763882165,Webots,,,,,,,,,,,,,,,
13,6.2,78.3,0,30.637216413462344,Webots,,,,,,,,,,,,,,,
14,6.2,78.3,0,30.66536475213947,Webots,,,,,,,,,,,,,,,
15,6.7,78.3,0,30.598277642176686,Webots,,,,,,,,,,,,,,,
1,282.6,0.25660892,0,21.4503,CoppeliaSim,,,,,,,,,,,,,,,
2,288.6,0.25660892,0,20.4155,CoppeliaSim,,,,,,,,,,,,,,,
3,286.6,0.25660892,0,20.5542,CoppeliaSim,,,,,,,,,,,,,,,
4,296.6,0.25660892,0,19.6757,CoppeliaSim,,,,,,,,,,,,,,,
5,292.6,0.25660892,0,19.4866,CoppeliaSim,,,,,,,,,,,,,,,
6,291.6,0.25660892,0,19.9598,CoppeliaSim,,,,,,,,,,,,,,,
7,278.6,0.25660892,0,19.5923,CoppeliaSim,,,,,,,,,,,,,,,
8,287.6,0.25660892,0,19.1743,CoppeliaSim,,,,,,,,,,,,,,,
9,291.5,0.25660892,0,19.1751,CoppeliaSim,,,,,,,,,,,,,,,
10,289.6,0.25660892,0,19.9133,CoppeliaSim,,,,,,,,,,,,,,,
11,293.6,0.24462425,0,20.5064,CoppeliaSim,,,,,,,,,,,,,,,
12,293.6,0.24462425,0,19.9058,CoppeliaSim,,,,,,,,,,,,,,,
13,289.6,0.24462425,0,19.8408,CoppeliaSim,,,,,,,,,,,,,,,
14,290.6,0.24462425,0,18.6448,CoppeliaSim,,,,,,,,,,,,,,,
15,278.6,0.24462425,0,20.1574,CoppeliaSim,,,,,,,,,,,,,,,